train,val
0.7261553786454662,0.8260549984195016
0.6855203288216745,0.6948557861826636
0.700730374263179,0.7043308439579877
0.6726448504674819,0.7161697067997672
0.6449563806095431,0.6952612115578218
0.6211367591975197,0.6592899357730692
0.6156384233505495,0.9723402695222334
0.5872792543903473,0.6161179122599688
0.595610317323477,0.5765929303385995
0.5795836186697406,0.6930693929845636
0.5644619154833979,0.7661700614474036
0.5720721049414527,0.6696766763925552
0.5268553851112243,0.6094795546748422
0.5335639658714494,0.6400095075368881
0.5266384651824352,0.5832753655585375
0.4613480607588445,0.5150937424464659
0.45491562074711245,0.48863714120604773
0.44368570970912136,0.4934893968430432
0.4463434262020934,0.5142203190109946
0.4367705978933842,0.4878387288613753
