train,val
0.668817204301075,0.6826745718050065
0.6903225806451616,0.7598155467720686
0.6959677419354839,0.7310276679841897
0.6970430107526886,0.7032938076416335
0.7190860215053766,0.723451910408432
0.7077956989247314,0.7284584980237153
0.7206989247311832,0.6876811594202898
0.7311827956989246,0.7437417654808958
0.7306451612903224,0.7593544137022398
0.7413978494623655,0.7886034255599476
0.7553763440860218,0.7689064558629778
0.7553763440860211,0.7481554677206851
0.7653225806451609,0.8011857707509883
0.7591397849462362,0.7955862977602108
0.7709677419354835,0.7735836627140976
0.7747311827956985,0.8092226613965748
0.7983870967741932,0.811198945981555
0.7991935483870963,0.8137681159420292
0.8040322580645155,0.8167984189723323
0.807526881720429,0.8258893280632413
