train,val
0.7755376344086019,0.820289855072464
0.7900537634408598,0.7966403162055337
0.7822580645161284,0.7936100131752307
0.7827956989247304,0.786034255599473
0.7935483870967737,0.8213438735177868
0.7889784946236558,0.8102766798418973
0.8024193548387094,0.8183135704874837
0.8067204301075263,0.8334650856389989
0.7999999999999996,0.8022397891963112
0.8069892473118278,0.7976943346508566
0.8137096774193545,0.8198287220026352
0.8169354838709671,0.823913043478261
0.8139784946236551,0.8137681159420292
0.8145161290322571,0.7981554677206851
0.8244623655913973,0.8440711462450594
0.8206989247311823,0.8289196310935444
0.8204301075268817,0.8501317523056656
0.842473118279569,0.845586297760211
0.8473118279569889,0.845586297760211
0.8505376344086016,0.8440711462450594
0.8516129032258056,0.8471014492753625
0.8618279569892464,0.8496706192358368
0.8577956989247303,0.8471014492753625
0.8642473118279563,0.85467720685112
0.8572580645161284,0.8592226613965745
0.8631720430107525,0.8496706192358368
0.8567204301075262,0.8577075098814231
0.8634408602150534,0.8561923583662715
0.859677419354838,0.8466403162055336
0.8623655913978492,0.8592226613965745
