train,val
0.8295698924731179,0.8380105401844534
0.8405913978494622,0.8410408432147564
0.8424731182795692,0.8163372859025034
0.8338709677419348,0.823913043478261
0.8419354838709672,0.8440711462450596
0.8435483870967735,0.8289196310935444
0.8400537634408597,0.8451251646903821
0.8604838709677413,0.8386034255599474
0.8553763440860211,0.8133069828722004
0.841129032258064,0.8284584980237156
0.8489247311827957,0.8088932806324111
0.8569892473118275,0.7966403162055339
0.8572580645161288,0.8289196310935444
0.8706989247311827,0.8481554677206852
0.8852150537634409,0.8531620553359683
0.8841397849462361,0.8492094861660081
0.8946236559139785,0.8381422924901186
0.8903225806451612,0.8481554677206852
0.888709677419355,0.8436100131752305
0.8916666666666664,0.8476943346508565
0.8887096774193545,0.8446640316205535
0.8965053763440854,0.8507246376811595
0.8905913978494621,0.8431488801054019
0.8983870967741927,0.8442028985507247
0.8913978494623652,0.8487483530961792
0.8954301075268818,0.8487483530961792
0.8913978494623652,0.8472332015810278
0.8962365591397846,0.8466403162055336
0.8962365591397845,0.8411725955204216
0.8946236559139785,0.8442028985507247
